Game_ID,Date,Season,Team_H,Points_H,Team_A,Points_A,H_Team_Elo_Before,A_Team_Elo_Before,H_Team_Elo_After,A_Team_Elo_After,H_Last_10_Avg_Points_H,H_Last_10_Avg_FG_H,H_Last_10_Avg_FGA_H,H_Last_10_Avg_2P_H,H_Last_10_Avg_2PA_H,H_Last_10_Avg_3P_H,H_Last_10_Avg_3PA_H,H_Last_10_Avg_FT_H,H_Last_10_Avg_FTA_H,H_Last_10_Avg_ORB_H,H_Last_10_Avg_TRB_H,H_Last_10_Avg_AST_H,H_Last_10_Avg_STL_H,H_Last_10_Avg_BLK_H,A_Last_10_Avg_Points_A,A_Last_10_Avg_FG_A,A_Last_10_Avg_FGA_A,A_Last_10_Avg_2P_A,A_Last_10_Avg_2PA_A,A_Last_10_Avg_3P_A,A_Last_10_Avg_3PA_A,A_Last_10_Avg_FT_A,A_Last_10_Avg_FTA_A,A_Last_10_Avg_ORB_A,A_Last_10_Avg_TRB_A,A_Last_10_Avg_AST_A,A_Last_10_Avg_STL_A
58,2009-10-30,2010,ATL,100.0,WAS,89.0,1508.8528344320187,1513.1698958959532,1517.8686849999845,1504.1540453279874,120.0,46.0,87.0,39.0,75.0,7.0,12.0,21.0,29.0,8.0,35.0,30.0,16.0,6.0,102.0,39.0,84.0,35.0,71.0,4.0,13.0,20.0,24.0,9.0,46.0,19.0,6.0
51,2009-10-30,2010,MIN,87.0,CLE,104.0,1503.88468596865,1482.7317314982445,1485.2034039736448,1501.4130134932498,95.0,34.0,93.0,33.0,86.0,1.0,7.0,26.0,35.0,18.0,50.0,14.0,15.0,2.0,91.0,29.0,83.0,20.0,61.0,9.0,22.0,24.0,37.0,13.0,49.0,19.0,4.0
75,2009-10-31,2010,SAS,113.0,SAC,94.0,1504.6696677643906,1484.4449199074734,1516.3165314026032,1472.7980562692608,113.0,45.0,86.0,36.0,62.0,9.0,24.0,14.0,20.0,11.0,42.0,29.0,4.0,0.0,90.5,34.0,87.5,29.0,67.5,5.0,20.0,17.5,24.0,15.5,44.5,17.0,6.5
64,2009-10-31,2010,CLE,90.0,CHO,79.0,1501.4130134932498,1485.836240078634,1509.6924146264987,1477.5568389453852,89.0,29.0,70.0,23.0,53.0,6.0,17.0,25.0,32.0,6.0,32.0,17.0,7.0,9.0,59.0,23.0,74.0,23.0,64.0,0.0,10.0,13.0,25.0,14.0,46.0,10.0,6.0
63,2009-10-31,2010,LAC,84.0,DAL,93.0,1477.9187654984466,1503.1745858821914,1467.1827425188055,1513.9106088618325,107.0,43.0,77.0,37.0,64.0,6.0,13.0,15.0,27.0,7.0,35.0,27.0,9.0,7.0,94.0,32.0,77.0,27.0,62.0,5.0,15.0,25.0,32.0,13.0,46.0,19.0,6.0
79,2009-11-01,2010,OKC,74.0,POR,83.0,1521.0865933317386,1495.9675900192935,1508.5261644182926,1508.5280189327395,102.0,39.0,76.0,31.0,62.0,8.0,14.0,16.0,20.0,8.0,41.0,20.0,4.0,6.0,107.0,38.0,74.0,32.0,56.0,6.0,18.0,25.0,31.0,12.0,37.0,19.0,5.0
80,2009-11-01,2010,BOS,97.0,NOP,87.0,1542.6852647228184,1493.9280145812793,1549.4118937834476,1487.20138552065,105.0,38.0,75.0,26.5,48.5,11.5,26.5,17.5,21.5,10.0,43.0,30.5,8.5,6.5,96.0,39.0,78.0,34.0,68.0,5.0,10.0,13.0,22.0,5.0,33.0,17.0,5.0
85,2009-11-01,2010,TOR,116.0,ORL,125.0,1499.7914237630098,1522.2055739100413,1488.9545210243111,1533.04247664874,101.0,34.0,75.0,29.0,59.0,5.0,16.0,28.0,37.0,7.0,48.0,23.0,4.0,6.0,95.0,37.0,75.0,31.0,54.0,6.0,21.0,15.0,25.0,9.0,48.0,21.0,1.0
89,2009-11-01,2010,MIA,95.0,CHI,87.0,1527.6959168386616,1491.785114040697,1533.9348189921157,1485.5462118872429,115.0,47.0,83.0,40.0,68.0,7.0,15.0,14.0,17.0,7.0,43.0,21.0,6.0,3.0,90.0,34.0,82.0,32.0,67.0,2.0,15.0,20.0,27.0,16.0,36.0,19.0,6.0
96,2009-11-02,2010,CHO,79.0,BRK,68.0,1477.5568389453852,1472.5869077011273,1486.2241857033089,1463.9195609432036,102.0,35.0,92.0,32.0,74.0,3.0,18.0,29.0,36.0,12.0,55.0,18.0,8.0,6.0,98.5,35.5,80.5,33.0,72.0,2.5,8.5,25.0,30.5,13.0,42.0,19.5,4.5
